Job Title,Company Name,Experience Range,Salary,Location,Posted Date,Openings,Applicants,Job Description,Keywords
Java Microservices with Scrum Master,Lib Cap Infotech Solutions,8 - 11 years,30-37.5 Lacs P.A.,Noida,2 days ago,1,1319,"Hands on exp. of java 8 or higher, spring, Spring batch, MongoDB or PostgreSQL, microservices architecture, Reactive programming, Redis (caching), Angular (GUI) and Cloud computing.Good knowledge of design patterns, data structures & algorithms,

Required Candidate profile
Playing a critical role in Techno-Functional Solution binding. Responsible for driving agile practices within the organization, Ability to write, review & test code to ensure compatibility & stability","Java, Sprint Planning, Agile, Spring boot, Microservices, spring, stand up, J2EE, burnup, Sprint Review, Retrospective"
Software Engineer - Payment integration + Java,Coders Brain Pvt Ltd,2 - 4 years,Not Disclosed,Kolkata,30+ days ago,1,1834,"Design, develop, and maintain payment integration solutions using Java and related technologies.
Collaborate with product managers and stakeholders to understand business requirements and translate them into technical specifications.
Integrate third-party payment gateways, APIs, and SDKs into our software applications, ensuring compatibility and optimal performance.
Develop and maintain secure and scalable payment processing systems, incorporating best practices for data protection and compliance with relevant industry standards.
Perform thorough testing and debugging to identify and resolve issues related to payment integrations.
Optimize payment workflows, enhance system performance, and ensure high availability of payment processing services.
Stay up to date with the latest trends and advancements in payment technologies, and provide insights and recommendations for improving our payment systems.
Document technical specifications, processes, and procedures related to payment integration projects.
Collaborate with cross-functional teams to identify and address any potential risks or challenges associated with payment integrations.
Qualifications:
Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.
Solid experience in software development using Java and related frameworks (e.g., Spring, Hibernate).
Proven expertise in payment integration, including experience with payment gateways, APIs, and SDKs (e.g., PayPal, Stripe, Braintree).
Strong understanding of payment industry standards and regulations (e.g., PCI DSS, PSD2).
Proficiency in web technologies such as HTML, CSS, JavaScript, and RESTful APIs.
Experience with database systems (e.g., MySQL, Oracle) and SQL queries.
Familiarity with software development methodologies (e.g., Agile, Scrum) and version control systems (e.g., Git).
Excellent problem-solving skills and attention to detail.
Strong communication and collaboration abilities, with the capacity to work effectively in a team environment.
Ability to adapt quickly to changing priorities and project requirements.","Hibernate, Java J2Ee Developer, MySQL, Debugging, Javascript, HTML, Oracle, Business solutions, Python"
Senior Java Developer - New Delhi,Armezo Solutions,4 - 5 years,Not Disclosed,New Delhi,30+ days ago,1,43,"  1.Your primary responsibility will be to design and develop these applications, and to coordinate with the rest of the team working on different layers of the infrastructure.
2.Thus, a commitment to collaborative problem solving, sophisticated design, and product quality is essential.
3.Design, build, and maintain efficient, reusable, and reliable Java code.
4.Ensure the best performance, quality, and responsiveness of the applications.
5. Identify bottlenecks and bugs, and devise solutions to these problems.
6. Help maintain code quality, organization, and automatization.
7. Productivity of Team members.
8. Support Team members to go to next level.","Maven, SWT, Hibernate, GWT, Java J2Ee Developer, JDBC, JSF, Troubleshooting, AWT, SQL"
Software Engineers (Java/J2EE),Techizen India Pvt. Ltd,3 - 8 years,Not Disclosed,Noida,30+ days ago,1,67,"Bachelor s degrees in engineering/ computer Science from the top colleges.

Strong analytical skills to write high quality code are a MUST.

Expertise with Java programming language.

Experience in open source technologies like ElasticSearch, DropWizard, BootStrap, NoSQL is a plus. Added consideration if you have experience in semantic search and NLP.","Computer science, Analytical skills, NoSQL, java, code, analytical, Programming, J2Ee, bootstrap, Open source, quality"
Java Architect,Oracle,10 - 16 years,Not Disclosed,Hyderabad/Secunderabad,23 days ago,1,550,"Responsibilities
Take a developer role for Oracle Communication Security Shield Cloud product including design, implementation, and troubleshooting.
Analyze and create implementation strategies and solutions for requirements
Develop and unit test highly efficient code for Front End / Back End modules (either or both) of the product.
Collaborate with local and remote teams (India, Europe, and USA) of software developers & Quality Assurance.
Deliver a high quality software!
Skills/Experience
10+ years of Multi-threaded software development, deployment, debugging and testing experience with Java/J2EE/Spring Boot development frameworks on Linux OS
Excellent knowledge of developing performance critical applications in cloud native environment.
Hands on experience on Microservice based architecture and development
Hands-on experience with Docker, Kubernetes and related container platform ecosystems.
Experience with database technologies such as Oracle, MySQL or Postgres, MongoDB
Experience in the development and maintenance of unit tests using a testing framework, such as JUnit, is highly desirable
Experience on Kafka and Kafka streams.
Experience on ELK stack.
Should have detailed knowledge of SOAP and RESTful web services with various data formats like JSON, XML and XSD
Experience or knowledge of SIP and IMS network is a big plus. Telecom domain experience is highly desired.
Strong Knowledge of TCP/UDP/IP and networking concepts.
Experience with one or more version control systems (GitLab is a big plus)
Strong understanding of static code analysis, unit testing and test driven development, security testing and automated test frameworks. Experience using Jenkins, SonarQube, GIT, Maven, Gradle.
Experience on Redis, ZooKeeper and/ or Python, Django, Angular JS , Angular
Previous experience in Agile Software Development with CI/CD is a plus.
Good verbal and written communication skills in English. Should be strong communicator and able to articulate ideas clearly.
Must be able to work independently
What to expect
We work in mid-size team using state-of-the-art, cutting edge technologies.
We offer a competitive pay and do not watch the clock. We trust you and your skills and do not micromanage.
Working at Oracle means being among excellent, competent and inspiring people from around the globe.
Ability to learn new technologies, improve skills to explore and develop yourself.
Enjoy every single day!","Java, Docker, Microservices, Telecom, Java Architecture, Spring Boot, Architectural Design, Kubernetes Deployment, Technical Architecture, J2Ee Architecture"
Java Developer ( DM - 3719 ),Oodles Technologies,1 - 3 years,Not Disclosed,"Gurgaon/ Gurugram,Haryana",24 days ago,2,3190,"Role & responsibilities
Candidate should be able to work on assignments with least guidance
Responsible for robust and efficient implementation
Suggest technical solutions for short and long term
Participate and lead software design meetings and analyze user needs to determine technical requirements.
Collaborate with team members and across groups to prepare technical specifications.
Design and develop high-quality code.
Test, debug, analyze and fix application problems/issues.
Work closely with stakeholders to fix issues in a timely fashion.

Skills :
1.Strong experience in core Java.
2. Hands-on development in a J2EE framework like Spring Boot, Spring MVC.
3. Good knowledge of Relational Databases like MySQL, PostgreSQL, MS SQL Server with complex SQL Queries, Stored Procedure, Triggers.
4. Candidates must have knowledge of ORM like Hibernate.
5. Candidate must have good working knowledge of Data Structure
6. Unit testing experience using Junit, Spock.
7. Knowledge of versioning tools like GIT, SVN.
8. Knowledge of build tools like Maven, Gradle, Ant.
9. Knowledge of MongoDB, Cassandra, Neo4J, Redis, Kafka, ActiveMQ, Caches, Microservices will be a major plus
10. Good to have knowledge of Javascript, jQuery or AngularJS.
11. Knowledge of Agile software development methodologies and the software development lifecycle.
12. Knowledge of Unit Test Cases will be an added advantage.
13. Candidate can work in team as well as individual

Note : You can also apply via https://careers.oodles.io/jobs/857/","Java, Spring Boot, Hibernate, CSS, Spring Mvc, J2Ee, HTML, Javascript Frameworks, Java Frameworks, GIT, J2Ee Development, Java Development, Javascript"
"Java Developer (Java, J2EE, React JS)",Fiserv,8 - 11 years,Not Disclosed,"Noida,Uttar Pradesh",24 days ago,1,428,"What Does a great Software Development Engineer do at Fiserv?
Fiserv is looking for a talented Software Development Engineer to lead design, development and implementation of one of its flagship products for its clients as part of an agile team. The ideal candidate is able to collaborate on product, design and architectural roadmap execution; provide technical insight and guidance on product roadmap to product owners; establish software design best practices and ensure adherence to them; ensure alignment with technical strategy through reviews with architecture team; eliminate technical impediments; ensure our product technology stack is aligned with technical advancements in industry; design and develop core extensions to the web application framework; is able to share ideas in strong product setting; is able to communicate with other team members; is able to partner with multiple engineering teams, and multi-functional stakeholders and; adhere to Agile Sprints, Delivery Framework, and SDLC best practices.
What you will do:
Collaborate on the execution of the product, design and architectural roadmaps.
Work with the product owner to provide technical insight and guidance into the product roadmap.
Assist in establishing coding, software design approaches and standards and ensure the product teams are adhering to standard methodologies.
Review process, components and dependencies with the architecture team to ensure alignment with technical strategy.
Focus on eliminating any pressing technical impediments to the teams.
Stay up to date with technology advancement and ensure our product technology stack is optimized for strategic growth.
Provide inspiration and guidance to the growing team; champion a culture of openness, collaboration and innovation.
Design and develop core extensions to an innovative web application framework.
Passionate about development and is anxious to learn from other high-level developers.
Team player with ability to collaborate idea sharing in strong product setting.
Able to communicate, encourage and empower all levels of staff.
Partner with multiple engineering teams, and multi-functional stakeholders.
Adhere to Agile Sprints, Delivery Framework, and SDLC best practices.
What you will need to have:
Bachelor's degree required.
8+ years of hands-on experience in developing web applications using Java and React JS
2+ years of applying Spring components: Core, Boot, Data, MVC, Cloud.
4+ years of relational database design & modeling.
1+ year or exposure to administering & consuming Azure/AWS services.
Knowledge of Visualization tool like Tableau would be added advantage.
Experience designing and maintaining large-scale web applications.
Experience on Integration of web application with Tableau and handling user security.
Strong verbal and written communication; ability to interact at all levels of an organization
What would be nice to have:
Advanced Degree and/or Industry Certifications.
Advanced understanding of the Java programming language and common APIs.
Knowledge of the entire Spring platform including Boot and Cloud.
Experience building distributed, service oriented, microservices-style and cloud-based application architectures.
Containerization experience with applications deployed on Docker or Kubernetes.
Advanced knowledge of the AWS platform.
Experience in an SAFe Agile environment.
Experience with cloud infrastructure support in mixed Linux and Windows environments.
Related banking industry experience in platforms, banking applications, or online financial solutions.","Java, Java8, React.Js, Java 8, Reacts Js"
Java Full Stack Developer,Tavant Technologies,6 - 8 years,Not Disclosed,"Noida,Uttar Pradesh",24 days ago,1,163,"Job Details
Location Bangalore /Noida / Hyderabad
Experience  6 Years  8 Years
Qualification  Any Graduate (Full time)
Salary  As per Market
(It is a hybrid model, 3 days work from office)
Job Details
Minimum 5 years of experience in Java and Angular.
Experience on Spring boot , micro services , J2EE is required to have.
Writing efficient code and document it as per the design specification of module component.
Deploying components and or applications using multiple technologies.
Participate in complete life cycle of software development.
Debugging and portability of Java applications.
Good Knowledge of major Java Frameworks.
Good knowledge on concepts of MSQL.
Good knowledge of different Software design patterns.

If interested, please share your profile at nikita.lamba@tavant.com","Java, Spring Boot, Angular, microservices, MSQL, J2EE, AWS"
Java Developer,Genx Info Technologies Pvt. Ltd,3 - 5 years,Not Disclosed,Gurgaon/Gurugram,30+ days ago,1,834,"3 years of proven Coding experience in Java/JEE/Rest/Springboot2.0 Micro Services
Understands and having experience of using different Java and Microservices design patterns
Should exhibit good Java/JEE skillset
Well versed in Java/JEE technologies like Application servers, Servlets, Eclipse Link, JMS, Restful services, JSON/XML
Should have working knowledge of any database
Hands on with debugging code and troubleshooting
Knowledge of Container Docker, Kubernetes will be an added advantage.","JMS, Coding, XML, Eclipse, Debugging, Database, JSON, J2Ee, JEE, Troubleshooting"
Java Developer (Full Stack Developer),Dharampal Satyapal Group (DS Group),10 - 15 years,Not Disclosed,"Noida,Uttar Pradesh",29 days ago,1,703,"The incumbent should have hands-on Expertise in javascript-based frameworks and technologies such as ExpressJS, Angular (all versions), and NodeJS with high proficiency in programming and software design in J2EE technologies stack (JSP, Servlet, Filter), JQuery, Angular js, JSON, GSON, HTML5, CSS,AJAX, Web Services (Restful Services), Java Script, Java (JDK 1.8) and above.

Lead the team and work as part of a software development team
Manage & Deliver projects as per timelines
Analyse user requirements to determine how to translate into Java and MEAN Stack
Write code per app specifications
Test to ensure designs are in compliance with specifications
Debug and resolve technical issues
Make recommendations to existing job infrastructure
Should be able to integrate 3rd party APIs, datasets, and applications
Collaborate with teammates to quickly deliver high-quality solutions","J2Ee Technologies, Mean, Maven, Hibernate, Mern, Angularjs, JScript, CSS, Gson, JSON, JQuery, Spring, GRADLE, javascript, TOMCAT, JSP Servlets, HTML5, Web Services, Ajax"
Java Developer,VOCSO,3 - 10 years,Not Disclosed,New Delhi,30+ days ago,1,16,"B.E/B.Tech/MCA with at least 3-8 years of hands-on web development experience in Core Java and J2EE
Should have experience in end-to-end application development in an Agile environment
Good experience with databases like MySQL or Oracle or any NoSQL","Core Java, NoSQL, MySQL, Web development, Agile, J2Ee, Application development, Oracle"
IMM Joiners: Core Java (Spring Boot Expert) For MMT Gurgaon Loc,Miracle Corporate Solutions,2 - 4 years,7-15 Lacs P.A.,"Gurgaon/ Gurugram,Haryana",3 days ago,7,1918,"Experience:- 2+yrs

*Exp in Java 8 concepts and implementation
*DB Queries hands on is expected.
*Data Structure knowledge is expected
*Recursion concepts and hands on expected

abhilasha1.miracle@gmail.com
6305497591/9311305846","Multithreading, Spring Boot, core java, Implementation, recursion Concepts, Hibernate, Data struc, Algorithms, MYSQL, Data Structures, Problem Solving, J2Ee"
Java/J2EE Senior developer,HADOOLYTICS INC,4 - 6 years,Not Disclosed,Gurgaon/Gurugram,30+ days ago,1,137,"Must have 4 years of hands-on experience in Java and J2EE technologies
Experience in development of Java/J2EE solutions: Hibernate, Spring, Struts, JSF
Experience in modelling tools
Additional skills
Strong experience in application design (UML), design patterns and performance tuning
Web service integration skills (SOAP, WSDL)
JavaScripting, JSON, JQuery
Self-starter and ability to work under minimum supervision.","Performance tuning, Application design, Hibernate, jQuery, UML, Struts, JSON, J2Ee, JSF, Spring"
JAVA Programmer,Dynakode Technology,0 - 2 years,Not Disclosed,New Delhi,30+ days ago,1,3481,"  Designing and developing high-volume, low-latency applications for mission-critical systems and delivering high-availability and performance
Contribute in all phases of the development lifecycle
Write well designed, testable, efficient code
Ensure designs are in compliance with specifications
Prepare and produce releases of software components
Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review
Skills/Experience
Knowledge of JSP / Servlets, Service Oriented Architecture / Web Services SOAP / REST
Markup Languages like XML and JSON
Working knowledge of Linux
Knowledge of Protocols like IP, HTTP, TCP, FTP, UDP, Sockets programming, Multithreading","TCP, Multithreading, FTP, PDF, Linux, Java J2Ee Developer, XML, HTML, HTTP, JSON"
